"id","citizen_id","status","opened_at"
"1","1","OPEN","7/16/2018 4:26:29 AM"
"2","2","CLOSED","10/12/2017 2:26:29 AM"
"3","3","UNDER_INVESTIGATION","8/31/2021 1:26:29 AM"
"4","4","OPEN","2/11/2025 6:26:29 PM"
"5","5","CLOSED","12/16/2021 3:26:29 AM"
"6","6","UNDER_INVESTIGATION","6/1/2022 6:26:29 PM"
"7","7","OPEN","1/16/2022 1:26:29 PM"
"8","8","CLOSED","8/21/2023 8:26:29 PM"
"9","9","UNDER_INVESTIGATION","6/14/2020 1:26:29 PM"
"10","10","OPEN","11/3/2018 1:26:29 AM"
"11","11","CLOSED","4/26/2023 11:26:29 AM"
"12","12","UNDER_INVESTIGATION","8/18/2022 10:26:29 AM"
"13","13","OPEN","7/23/2016 10:26:29 AM"
"14","14","CLOSED","4/1/2021 9:26:29 PM"
"15","15","UNDER_INVESTIGATION","12/7/2016 2:26:29 PM"
"16","16","OPEN","6/5/2026 4:26:29 AM"
"17","17","CLOSED","8/7/2025 9:26:29 AM"
"18","18","UNDER_INVESTIGATION","5/2/2020 10:26:29 AM"
"19","19","OPEN","1/5/2022 12:26:29 PM"
"20","20","CLOSED","9/2/2018 12:26:29 AM"
"21","21","UNDER_INVESTIGATION","2/14/2020 1:26:29 AM"
"22","22","OPEN","9/7/2016 2:26:29 PM"
"23","23","CLOSED","2/21/2023 1:26:29 AM"
"24","24","UNDER_INVESTIGATION","3/23/2025 8:26:29 AM"
"25","25","OPEN","10/30/2017 7:26:29 PM"
"26","26","CLOSED","11/21/2022 5:26:29 PM"
"27","27","UNDER_INVESTIGATION","11/4/2022 5:26:29 AM"
"28","28","OPEN","11/26/2019 10:26:29 AM"
"29","29","CLOSED","1/20/2019 11:26:29 AM"
"30","30","UNDER_INVESTIGATION","6/22/2018 10:26:29 PM"
"31","31","OPEN","3/2/2020 4:26:29 AM"
"32","32","CLOSED","4/18/2021 5:26:29 PM"
"33","33","UNDER_INVESTIGATION","10/16/2017 1:26:29 AM"
"34","34","OPEN","9/16/2021 8:26:29 PM"
"35","35","CLOSED","1/16/2021 12:26:29 PM"
"36","36","UNDER_INVESTIGATION","7/22/2020 8:26:29 AM"
"37","37","OPEN","2/5/2025 4:26:29 AM"
"38","38","CLOSED","1/4/2025 7:26:29 AM"
"39","39","UNDER_INVESTIGATION","12/18/2018 5:26:29 AM"
"40","40","OPEN","5/21/2020 3:26:29 PM"
"41","41","CLOSED","2/1/2023 9:26:29 PM"
"42","42","UNDER_INVESTIGATION","6/1/2018 2:26:29 PM"
"43","43","OPEN","6/15/2017 8:26:29 AM"
"44","44","CLOSED","12/14/2021 4:26:29 AM"
"45","45","UNDER_INVESTIGATION","8/18/2017 12:26:29 AM"
"46","46","OPEN","8/15/2020 1:26:29 PM"
"47","47","CLOSED","9/8/2019 1:26:29 PM"
"48","48","UNDER_INVESTIGATION","6/1/2019 11:26:29 PM"
"49","49","OPEN","5/5/2026 1:26:29 PM"
"50","50","CLOSED","10/27/2018 12:26:29 AM"
"51","51","UNDER_INVESTIGATION","3/23/2025 8:26:29 PM"
"52","52","OPEN","2/19/2019 6:26:29 PM"
"53","53","CLOSED","4/17/2018 6:26:29 PM"
"54","54","UNDER_INVESTIGATION","7/23/2023 8:26:29 AM"
"55","55","OPEN","11/11/2021 4:26:29 AM"
"56","56","CLOSED","3/15/2025 3:26:29 PM"
"57","57","UNDER_INVESTIGATION","4/1/2021 7:26:29 PM"
"58","58","OPEN","7/30/2021 6:26:29 AM"
"59","59","CLOSED","10/24/2019 11:26:29 AM"
"60","60","UNDER_INVESTIGATION","11/23/2019 7:26:29 PM"
"61","61","OPEN","10/21/2022 9:26:29 PM"
"62","62","CLOSED","1/13/2024 7:26:29 PM"
"63","63","UNDER_INVESTIGATION","1/8/2019 6:26:29 PM"
"64","64","OPEN","5/29/2017 7:26:29 PM"
"65","65","CLOSED","1/22/2025 9:26:29 PM"
"66","66","UNDER_INVESTIGATION","11/7/2023 4:26:29 AM"
"67","67","OPEN","2/10/2022 5:26:29 PM"
"68","68","CLOSED","10/27/2020 2:26:29 PM"
"69","69","UNDER_INVESTIGATION","4/13/2023 6:26:29 AM"
"70","70","OPEN","3/4/2020 7:26:29 PM"
"71","71","CLOSED","10/5/2025 4:26:29 AM"
"72","72","UNDER_INVESTIGATION","5/27/2018 8:26:29 PM"
"73","73","OPEN","4/18/2019 6:26:29 AM"
"74","74","CLOSED","3/12/2022 7:26:29 AM"
"75","75","UNDER_INVESTIGATION","11/12/2016 12:26:29 AM"
"76","76","OPEN","4/2/2025 7:26:29 PM"
"77","77","CLOSED","1/17/2026 8:26:29 AM"
"78","78","UNDER_INVESTIGATION","4/10/2022 7:26:29 PM"
"79","79","OPEN","6/24/2020 9:26:29 AM"
"80","80","CLOSED","12/17/2023 11:26:29 PM"
"81","81","UNDER_INVESTIGATION","6/25/2022 7:26:29 AM"
"82","82","OPEN","12/22/2021 6:26:29 AM"
"83","83","CLOSED","4/8/2025 6:26:29 AM"
"84","84","UNDER_INVESTIGATION","4/4/2022 3:26:29 PM"
"85","85","OPEN","5/22/2017 4:26:29 AM"
"86","86","CLOSED","9/27/2022 12:26:29 PM"
"87","87","UNDER_INVESTIGATION","10/23/2025 4:26:29 AM"
"88","88","OPEN","10/20/2021 3:26:29 PM"
"89","89","CLOSED","5/20/2022 3:26:29 AM"
"90","90","UNDER_INVESTIGATION","7/13/2018 1:26:29 AM"
"91","91","OPEN","12/9/2025 8:26:29 PM"
"92","92","CLOSED","9/17/2018 7:26:29 AM"
"93","93","UNDER_INVESTIGATION","11/5/2020 8:26:29 AM"
"94","94","OPEN","11/17/2020 1:26:29 PM"
"95","95","CLOSED","6/3/2018 10:26:29 AM"
"96","96","UNDER_INVESTIGATION","11/6/2021 2:26:29 AM"
"97","97","OPEN","7/24/2016 1:26:29 AM"
"98","98","CLOSED","1/17/2017 5:26:29 AM"
"99","99","UNDER_INVESTIGATION","3/28/2020 3:26:29 AM"
"100","100","OPEN","7/9/2022 4:26:29 PM"
"101","101","CLOSED","2/13/2025 6:26:29 PM"
"102","102","UNDER_INVESTIGATION","11/18/2022 5:26:29 AM"
"103","103","OPEN","10/21/2023 12:26:29 PM"
"104","104","CLOSED","11/14/2024 9:26:29 AM"
