"device_code","gps_status"
"GPS-00002","OK"
"GPS-00003","OK"
"GPS-00004","OK"
"GPS-00005","OK"
"GPS-00006","OK"
"GPS-00007","OK"
"GPS-00008","OK"
"GPS-00009","OK"
"GPS-00010","OK"
"GPS-00011","OK"
"GPS-00012","OK"
"GPS-00013","OK"
"GPS-00014","OK"
"GPS-00015","OK"
"GPS-00016","OK"
"GPS-00017","OK"
"GPS-00018","OK"
"GPS-00019","OK"
"GPS-00020","OK"
"GPS-00021","OK"
"GPS-00022","OK"
"GPS-00023","OK"
"GPS-00024","OK"
"GPS-00025","OK"
"GPS-00026","OK"
"GPS-00027","OK"
"GPS-00028","OK"
"GPS-00029","OK"
"GPS-00030","OK"
"GPS-00031","OK"
"GPS-00032","OK"
"GPS-00033","OK"
"GPS-00034","OK"
"GPS-00035","OK"
"GPS-00036","OK"
"GPS-00037","OK"
"GPS-00038","OK"
"GPS-00039","OK"
"GPS-00040","OK"
"GPS-00041","OK"
"GPS-00042","OK"
"GPS-00043","OK"
"GPS-00044","OK"
"GPS-00045","OK"
"GPS-00046","OK"
"GPS-00047","OK"
"GPS-00048","OK"
"GPS-00049","OK"
"GPS-00050","OK"
"GPS-00051","OK"
"GPS-00052","OK"
"GPS-00053","OK"
"GPS-00054","OK"
"GPS-00055","OK"
"GPS-00056","OK"
"GPS-00057","OK"
"GPS-00058","OK"
"GPS-00059","OK"
"GPS-00060","OK"
"GPS-00061","OK"
"GPS-00062","OK"
"GPS-00063","OK"
"GPS-00064","OK"
"GPS-00065","OK"
"GPS-00066","OK"
"GPS-00067","OK"
"GPS-00068","OK"
"GPS-00069","OK"
"GPS-00070","OK"
"GPS-00071","SIGNAL_LOST"
"GPS-00072","OK"
"GPS-00073","OK"
"GPS-00074","OK"
"GPS-00075","OK"
"GPS-00076","OK"
"GPS-00077","OK"
"GPS-00078","OK"
"GPS-00079","OK"
"GPS-00080","OK"
"GPS-00081","OK"
"GPS-00082","OK"
"GPS-00083","OK"
"GPS-00084","OK"
"GPS-00085","OK"
"GPS-00086","OK"
"GPS-00087","OK"
"GPS-00088","OK"
"GPS-00089","OK"
"GPS-00090","OK"
"GPS-00091","OK"
"GPS-00092","OK"
"GPS-00093","OK"
"GPS-00094","OK"
"GPS-00095","OK"
"GPS-00096","OK"
"GPS-00097","OK"
"GPS-00098","OK"
"GPS-00099","OK"
"GPS-00100","OK"
"GPS-00101","OK"
"GPS-00102","OK"
"GPS-00103","OK"
"GPS-00104","OK"
"GPS-00105","OK"
"GPS-00106","OK"
"GPS-00107","OK"
"GPS-00108","OK"
"GPS-00109","OK"
"GPS-00110","OK"
"GPS-00111","OK"
"GPS-00112","OK"
"GPS-00113","OK"
"GPS-00114","OK"
"GPS-00115","OK"
"GPS-00116","OK"
"GPS-00117","OK"
"GPS-00118","OK"
"GPS-00119","OK"
"GPS-00120","OK"
"GPS-00121","OK"
"GPS-00122","OK"
"GPS-00123","OK"
"GPS-00124","OK"
"GPS-00125","OK"
"GPS-00126","OK"
"GPS-00127","OK"
"GPS-00128","OK"
"GPS-00129","OK"
"GPS-00130","OK"
"GPS-00131","OFFLINE"
"GPS-00132","OK"
"GPS-00133","OK"
"GPS-00134","OK"
"GPS-00135","OK"
"GPS-00136","OK"
"GPS-00137","OK"
"GPS-00138","OK"
"GPS-00139","OK"
"GPS-00140","OK"
"GPS-00141","SIGNAL_LOST"
"GPS-00142","OK"
"GPS-00143","OK"
"GPS-00144","OK"
"GPS-00145","OK"
"GPS-00146","OK"
"GPS-00147","OK"
"GPS-00148","OK"
"GPS-00149","OK"
"GPS-00150","OK"
"GPS-00151","OK"
"GPS-00152","OK"
"GPS-00153","OK"
"GPS-00154","OK"
"GPS-00155","OK"
"GPS-00156","OK"
"GPS-00157","OK"
"GPS-00158","OK"
"GPS-00159","OK"
"GPS-00160","OK"
"GPS-00161","OK"
"GPS-00162","OK"
"GPS-00163","OK"
"GPS-00164","OK"
"GPS-00165","OK"
"GPS-00166","OK"
"GPS-00167","OK"
"GPS-00168","OK"
"GPS-00169","OK"
"GPS-00170","OK"
"GPS-00171","OK"
"GPS-00172","OK"
"GPS-00173","OK"
"GPS-00174","OK"
"GPS-00175","OK"
"GPS-00176","OK"
"GPS-00177","OK"
"GPS-00178","OK"
