"id","delivery_status"
"1","SENT"
"2","SENT"
"3","SENT"
"4","SENT"
"5","SENT"
"6","SENT"
"7","SENT"
"8","SENT"
"9","SENT"
"10","SENT"
"11","SENT"
"12","SENT"
"13","QUEUED"
"14","SENT"
"15","SENT"
"16","SENT"
"17","FAILED"
"18","SENT"
"19","SENT"
"20","SENT"
"21","SENT"
"22","SENT"
"23","SENT"
"24","SENT"
"25","SENT"
"26","QUEUED"
"27","SENT"
"28","SENT"
"29","SENT"
"30","SENT"
"31","SENT"
"32","SENT"
"33","SENT"
"34","FAILED"
"35","SENT"
"36","SENT"
"37","SENT"
"38","SENT"
"39","QUEUED"
"40","SENT"
"41","SENT"
"42","SENT"
"43","SENT"
"44","SENT"
"45","SENT"
"46","SENT"
"47","SENT"
"48","SENT"
"49","SENT"
"50","SENT"
"51","FAILED"
"52","QUEUED"
"53","SENT"
"54","SENT"
"55","SENT"
"56","SENT"
"57","SENT"
"58","SENT"
"59","SENT"
"60","SENT"
"61","SENT"
"62","SENT"
"63","SENT"
"64","SENT"
"65","QUEUED"
"66","SENT"
"67","SENT"
"68","FAILED"
"69","SENT"
"70","SENT"
"71","SENT"
"72","SENT"
"73","SENT"
"74","SENT"
"75","SENT"
"76","SENT"
"77","SENT"
"78","QUEUED"
"79","SENT"
"80","SENT"
"81","SENT"
"82","SENT"
"83","SENT"
"84","SENT"
"85","FAILED"
"86","SENT"
"87","SENT"
"88","SENT"
"89","SENT"
"90","SENT"
"91","QUEUED"
"92","SENT"
"93","SENT"
"94","SENT"
"95","SENT"
"96","SENT"
"97","SENT"
"98","SENT"
"99","SENT"
"100","SENT"
"101","SENT"
"102","FAILED"
"103","SENT"
"104","QUEUED"
"105","SENT"
"106","SENT"
"107","SENT"
"108","SENT"
"109","SENT"
"110","SENT"
"111","SENT"
"112","SENT"
"113","SENT"
"114","SENT"
"115","SENT"
"116","SENT"
"117","QUEUED"
"118","SENT"
"119","FAILED"
"120","SENT"
"121","SENT"
"122","SENT"
"123","SENT"
"124","SENT"
"125","SENT"
"126","SENT"
"127","SENT"
"128","SENT"
"129","SENT"
"130","QUEUED"
"131","SENT"
"132","SENT"
"133","SENT"
"134","SENT"
"135","SENT"
"136","FAILED"
"137","SENT"
"138","SENT"
"139","SENT"
"140","SENT"
"141","SENT"
"142","SENT"
"143","QUEUED"
"144","SENT"
"145","SENT"
"146","SENT"
"147","SENT"
"148","SENT"
"149","SENT"
"150","SENT"
"151","SENT"
"152","SENT"
"153","FAILED"
"154","SENT"
"155","SENT"
"156","QUEUED"
"157","SENT"
"158","SENT"
"159","SENT"
"160","SENT"
"161","SENT"
"162","SENT"
"163","SENT"
"164","SENT"
"165","SENT"
"166","SENT"
"167","SENT"
"168","SENT"
"169","QUEUED"
"170","FAILED"
"171","SENT"
"172","SENT"
"173","SENT"
"174","SENT"
"175","SENT"
"176","SENT"
"177","SENT"
"178","SENT"
"179","SENT"
"180","SENT"
"181","SENT"
"182","QUEUED"
"183","SENT"
"184","SENT"
"185","SENT"
"186","SENT"
"187","FAILED"
"188","SENT"
"189","SENT"
"190","SENT"
"191","SENT"
"192","SENT"
"193","SENT"
"194","SENT"
"195","QUEUED"
"196","SENT"
"197","SENT"
"198","SENT"
"199","SENT"
"200","SENT"
"201","SENT"
"202","SENT"
"203","SENT"
"204","FAILED"
"205","SENT"
"206","SENT"
"207","SENT"
"208","QUEUED"
"209","SENT"
"210","SENT"
"211","SENT"
"212","SENT"
"213","SENT"
"214","SENT"
"215","SENT"
"216","SENT"
"217","SENT"
"218","SENT"
"219","SENT"
"220","SENT"
"221","FAILED"
"222","SENT"
"223","SENT"
"224","SENT"
"225","SENT"
"226","SENT"
"227","SENT"
"228","SENT"
"229","SENT"
"230","SENT"
"231","SENT"
"232","SENT"
"233","SENT"
"234","QUEUED"
"235","SENT"
"236","SENT"
"237","SENT"
"238","FAILED"
"239","SENT"
"240","SENT"
"241","SENT"
"242","SENT"
"243","SENT"
