"citizen_id","event_type","event_time"
"1","Citizen Birth","7/4/2024 5:26:40 PM"
"2","NIDA Issued","11/19/2023 10:26:40 AM"
"3","License Issued","3/25/2023 7:26:40 AM"
"4","Vehicle Purchase","8/12/2017 8:26:40 PM"
"5","Insurance Activated","11/26/2017 3:26:40 PM"
"6","Fine Issued","7/20/2018 1:26:40 PM"
"7","Payment Attempted","12/2/2020 1:26:40 AM"
"8","Accident Logged","8/8/2022 5:26:40 AM"
"9","Investigation Opened","1/23/2019 11:26:40 PM"
"10","Court Hearing","6/24/2024 12:26:40 PM"
"11","Resolution Closed","7/16/2023 9:26:40 PM"
"12","Citizen Birth","4/13/2021 11:26:40 PM"
"13","NIDA Issued","9/3/2020 3:26:40 AM"
"14","License Issued","2/18/2018 2:26:40 PM"
"15","Vehicle Purchase","7/9/2022 5:26:40 PM"
"16","Insurance Activated","11/27/2019 6:26:40 AM"
"17","Fine Issued","11/18/2020 1:26:40 AM"
"18","Payment Attempted","4/12/2024 4:26:40 AM"
"19","Accident Logged","7/22/2020 11:26:40 AM"
"20","Investigation Opened","6/25/2025 11:26:40 PM"
"21","Court Hearing","1/22/2017 11:26:40 AM"
"22","Resolution Closed","5/31/2021 7:26:40 AM"
"23","Citizen Birth","4/1/2026 6:26:40 PM"
"24","NIDA Issued","4/17/2019 3:26:40 AM"
"25","License Issued","9/18/2016 2:26:40 PM"
"26","Vehicle Purchase","8/24/2018 10:26:40 AM"
"27","Insurance Activated","6/17/2022 3:26:40 AM"
"28","Fine Issued","9/10/2016 4:26:40 PM"
"29","Payment Attempted","3/15/2025 11:26:40 AM"
"30","Accident Logged","1/30/2023 6:26:40 AM"
"31","Investigation Opened","7/7/2024 5:26:40 AM"
"32","Court Hearing","6/22/2025 3:26:40 AM"
"33","Resolution Closed","11/16/2025 3:26:40 PM"
"34","Citizen Birth","12/21/2023 2:26:40 AM"
"35","NIDA Issued","8/2/2025 3:26:40 AM"
"36","License Issued","2/17/2021 12:26:40 PM"
"37","Vehicle Purchase","9/23/2023 1:26:40 PM"
"38","Insurance Activated","7/28/2017 10:26:40 PM"
"39","Fine Issued","9/10/2016 10:26:40 PM"
"40","Payment Attempted","12/24/2022 9:26:40 AM"
"41","Accident Logged","6/4/2021 6:26:40 PM"
"42","Investigation Opened","11/7/2018 6:26:40 PM"
"43","Court Hearing","1/3/2018 3:26:40 PM"
"44","Resolution Closed","10/10/2019 1:26:40 AM"
"45","Citizen Birth","6/6/2023 8:26:40 PM"
"46","NIDA Issued","1/22/2026 3:26:40 PM"
"47","License Issued","2/3/2021 8:26:40 AM"
"48","Vehicle Purchase","6/30/2024 1:26:40 PM"
"49","Insurance Activated","10/15/2018 1:26:40 AM"
"50","Fine Issued","6/28/2026 1:26:40 AM"
"51","Payment Attempted","2/20/2023 9:26:40 PM"
"52","Accident Logged","3/12/2025 2:26:40 PM"
"53","Investigation Opened","1/19/2024 10:26:40 AM"
"54","Court Hearing","12/16/2019 6:26:40 PM"
"55","Resolution Closed","1/19/2023 7:26:40 PM"
"56","Citizen Birth","5/2/2019 4:26:40 PM"
"57","NIDA Issued","4/14/2021 12:26:40 AM"
"58","License Issued","9/15/2020 6:26:40 PM"
"59","Vehicle Purchase","10/23/2022 9:26:40 PM"
"60","Insurance Activated","11/11/2022 12:26:40 AM"
"61","Fine Issued","2/28/2026 10:26:40 AM"
"62","Payment Attempted","12/26/2016 7:26:40 PM"
"63","Accident Logged","11/19/2024 1:26:40 PM"
"64","Investigation Opened","6/2/2023 2:26:40 AM"
"65","Court Hearing","8/3/2020 6:26:40 AM"
"66","Resolution Closed","2/12/2020 4:26:40 PM"
"67","Citizen Birth","1/14/2022 8:26:40 AM"
"68","NIDA Issued","1/16/2020 7:26:40 AM"
"69","License Issued","10/5/2021 9:26:40 AM"
"70","Vehicle Purchase","11/24/2022 10:26:40 AM"
"71","Insurance Activated","11/16/2025 7:26:40 AM"
"72","Fine Issued","10/28/2016 3:26:40 PM"
"73","Payment Attempted","7/19/2018 12:26:40 AM"
"74","Accident Logged","8/16/2024 4:26:40 AM"
"75","Investigation Opened","4/5/2022 6:26:40 PM"
"76","Court Hearing","3/15/2022 2:26:40 AM"
"77","Resolution Closed","4/20/2017 5:26:40 PM"
"78","Citizen Birth","10/7/2023 11:26:40 PM"
"79","NIDA Issued","7/3/2021 7:26:40 PM"
"80","License Issued","6/29/2020 10:26:40 PM"
"81","Vehicle Purchase","5/3/2020 11:26:40 PM"
"82","Insurance Activated","5/27/2026 2:26:40 AM"
"83","Fine Issued","4/19/2017 8:26:40 AM"
"84","Payment Attempted","4/2/2024 9:26:40 PM"
"85","Accident Logged","6/25/2019 8:26:40 PM"
"86","Investigation Opened","5/28/2025 12:26:40 AM"
"87","Court Hearing","3/28/2025 10:26:40 PM"
"88","Resolution Closed","10/14/2023 9:26:40 AM"
"89","Citizen Birth","11/22/2016 3:26:40 AM"
"90","NIDA Issued","10/15/2018 1:26:40 PM"
"91","License Issued","3/20/2020 6:26:40 AM"
"92","Vehicle Purchase","2/12/2018 9:26:40 AM"
"93","Insurance Activated","12/23/2019 12:26:40 AM"
"94","Fine Issued","11/7/2018 2:26:40 PM"
"95","Payment Attempted","11/26/2018 3:26:40 AM"
"96","Accident Logged","1/16/2021 10:26:40 AM"
"97","Investigation Opened","8/4/2022 10:26:40 AM"
"98","Court Hearing","7/13/2023 4:26:40 PM"
"99","Resolution Closed","12/28/2025 3:26:40 PM"
"100","Citizen Birth","5/6/2018 2:26:40 PM"
"101","NIDA Issued","2/15/2025 4:26:40 PM"
"102","License Issued","9/16/2021 11:26:40 AM"
"103","Vehicle Purchase","7/16/2021 7:26:40 AM"
"104","Insurance Activated","1/5/2025 9:26:40 PM"
"105","Fine Issued","8/28/2022 1:26:40 AM"
"106","Payment Attempted","2/27/2022 1:26:40 AM"
"107","Accident Logged","9/12/2018 1:26:40 PM"
"108","Investigation Opened","8/13/2018 9:26:40 PM"
"109","Court Hearing","1/31/2021 8:26:40 AM"
"110","Resolution Closed","7/9/2020 7:26:40 PM"
"111","Citizen Birth","12/13/2023 10:26:40 PM"
"112","NIDA Issued","5/3/2019 9:26:40 PM"
"113","License Issued","9/25/2016 4:26:40 AM"
"114","Vehicle Purchase","10/2/2016 4:26:40 AM"
